"Comuna","Alcalde Electo","Género","Votación Alcalde"
"Las Condes","Joaquin Lavin Infante","Masculino","67,150"
"Puente Alto","German Codina Powers","Masculino","67,107"
"La Florida","Rodolfo Carter Fernandez","Masculino","56,341"
"Maipu","Catherine Barriga Guerra","Femenino","35,303"
"Providencia","Evelyn Matthei Fornet","Femenino","32,092"
"Ñuñoa","Andres Zarhi Troy","Masculino","30,933"
"Santiago","Felipe Alessandri Vergara","Masculino","29,860"
"Vitacura","Raul Torrealba Del Pedregal","Masculino","20,860"
"Renca","Claudio Nicolas Castro Salas","Masculino","19,519"
"El Bosque","Sadi Melo Moya","Masculino","18,378"
"Cerro Navia","Mauro Tamayo Rozas","Masculino","16,262"
"Melipilla","Ivan Campos Aravena","Masculino","16,073"
"Lo Barnechea","Felipe Guevara Stephens","Masculino","16,592"
"San Ramon","Miguel Angel Aguilera Sanhueza","Masculino","15,590"
"Estacion Central","Rodrigo Delgado Mocarquer","Masculino","15,440"
"San Joaquin","Sergio Echeverria Garcia","Masculino","14,281"
"Colina","Mario Olavarria Rodriguez","Masculino","14,905"
"Buin","Miguel Araya Lobos","Masculino","14,185"
"Macul","Gonzalo Montoya Riquelme","Masculino","14,464"
"La Granja","Felipe Delpin Aguilar","Masculino","13,439"
"Cerrillos","Arturo Aguirre Gacitua","Masculino","13,467"
"Pedro Aguirre Cerda","Juan Rozas Romero","Masculino","13,010"
"Independencia","Gonzalo Duran Baronti","Masculino","13,463"
"Peñaflor","Nibaldo Meza Garfia","Masculino","12,893"
"Padre Hurtado","Jose Miguel Arellano Merino","Masculino","12,893"
"Paine","Diego Vergara Rodriguez","Masculino","12,925"
"La Reina","Jose Manuel Palacios Parra","Masculino","12,893"
"Talagante","Carlos Alvarez Esteban","Masculino","11,855"
"La Cisterna","Santiago Rebolledo Pizarro","Masculino","11,340"
"San Miguel","Luis Sanhueza Bravo","Masculino","8,780"
"La Pintana","Claudia Pizarro Peña","Femenino","8,313"
"Lo Espejo","Miguel Bruna Silva","Masculino","10,128"
"Conchali","Rene De laVega Fuentes","Masculino","8,485"
"Quinta Normal","Carmen Gloria Fernandez Valenzuela","Femenino","8,696"
"Lo Prado","Maximiliano Rios Galleguillos","Masculino","8,332"
"Lampa","Graciela Ortuzar Novoa","Femenino","7,975"
"Curacavi","Juan Pablo Barros Basso","Masculino","6,633"
"El Monte","Francisco Gomez Ramirez","Masculino","6,501"
"Calera de Tango","Erasmo Valenzuela Santibañez","Masculino","5,561"
"Isla de Maipo","Carlos Adasme Godoy","Masculino","5,348"
"Pirque","Cristian Balmaceda Undurraga","Masculino","3,580"
"Tiltil","Nelson Orellana Urzua","Masculino","3,302"
"San Jose de Maipo","Luis Pezoa Alvarez","Masculino","2,934"
"Maria Pinto","Jessica Mualim Fajuri","Femenino","2,648"
"San Pedro","Manuel Devia Vilches","Masculino","2,623"
"Alhue","Roberto Torres Huerta","Masculino","2,477"
