"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","Alcaldes Electos en RM:","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","Año","Total Alcaldes","Hombres","Mujeres","Rango Etario [30-39]","Rango Etario [40-49]","Rango Etario [50-59]","Rango Etario [60-69]","","","",""
"","2021","52","36","16","20","16","13","3","","","",""
"","2016","52","44","8","6","22","13","11","","","",""
"","","","","","","","","","","","",""
"","Votantes de Alcaldes por Año y Género:","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","Año","Total Votantes","Hombres","Mujeres","Rango Etario [18-19]","Rango Etario [20-29]","Rango Etario [30-39]","Rango Etario [40-49]","Rango Etario [50-59]","Rango Etario [60-69]","Rango Etario [70-79]","Rango Etario [80+]"
"","2021","2,649,968","1,238,744","1,411,152","75.444","493.424","520.333","462.577","481.329","370.461","190.635","55.693"
"","2016","1,636,746","725.786","910.96","39.594","214.715","224.164","294.475","353.982","283.74","169.497","56.579"
