"","",""
"","",""
"Etiquetas de fila","Suma de Número de Votos","PORCENTAJES"
"Cerrillos","28704",""
"Alejandro Isidoro Almendares Calderon","7422","25.86%"
"Alfredo Eugenio Peñaloza Figueroa","2307","8.04%"
"Arturo Aguirre Gacitua","6125","21.34%"
"Lorena Facuse Rojas","9037","31.48%"
"Maria Luisa Figueroa Garrido","3813","13.28%"
"Colina","41341",""
"Alejandra Alvarez Chaparro","1140","2.76%"
"Alejandra Bravo Hidalgo","2456","5.94%"
"Andres Vasquez Medina","8846","21.40%"
"Elisa Ester Galvez Espinace","2339","5.66%"
"Gonzalo Torres Ferrari","8303","20.08%"
"Isabel Valenzuela Ahumada","11312","27.36%"
"Mauricio Moran Avendaño","6072","14.69%"
"Rigoberto Aristides Mansilla Mansilla","873","2.11%"
"La Pintana","49413",""
"Claudia Gerlene Pizarro Peña","20942","42.38%"
"Guillermo Benavides Aguirre","9543","19.31%"
"Jorge Nuñez Sandoval","2743","5.55%"
"Rene Diaz Jorquera","13274","26.86%"
"Robin Bustamante Molina","2911","5.89%"
"Lo Espejo","36379",""
"Carlos Fernando Gardel Berrios","3099","8.52%"
"Javiera Paz Reyes Jara","8531","23.45%"
"Jose Silva Diaz","5072","13.94%"
"Juan Zambrano Duarte","4677","12.86%"
"Luis Serey Provoste","2121","5.83%"
"Manuel Alejandro Molina Tapia","355","0.98%"
"Miguel Bruna Silva","3705","10.18%"
"Osman Francisco Yeomans Jimenez","4713","12.96%"
"Paula Carolina Cancino Cancino","2791","7.67%"
"Pedro Mallea Vergara","1315","3.61%"
"Ñuñoa","108811",""
"Alejandra Francisca Placencia Cabello","24398","22.42%"
"Emilia Rios Saavedra","34652","31.85%"
"Guido Benavides Araneda","31911","29.33%"
"Juan Pablo Saez Rey","16122","14.83%"
"Rodrigo Antonio Maureira Vasquez","1728","1.59%"
"Peñalolén","84395",""
"Carlos Alarcon Castro","16661",""
"Carolina Leitao Alvarez-salamanca","27221","32.25%"
"Lautaro Guanca Vallejos","12364","14.65%"
"Miguel Andres Concha Manso","23258","27.56%"
"Raul Daniel Moraga Lagarrigue","4107","4.87%"
"Salvador Simon Aravena Perez","784","0.93%"
"Providencia","85471",""
"Evelyn Matthei Fornet","46890","54.86%"
"Veronica Pardo Lagos","38581","45.14%"
"Quilicura","64710",""
"Alejandro Martinez Gonzalez","11653","18.01%"
"Cesar Vega Lazo","4222","6.52%"
"Jaime Aceiton Vasquez","3302","5.10%"
"Mario Alvear Gilberto","7305","11.29%"
"Oscar Daniel Saldaña Abarca","13798","21.32%"
"Paola Romero Valdivia","10476","16.19%"
"Paulina Rebeca Bobadilla Navarrete","13954","21.56%"
"Quinta Normal","41082",""
"Felipe Mora Morgado","5543","13.49%"
"Francisco Gabriel Duarte Diaz","3770","9.18%"
"Juan Pablo Sanhueza Tortella","2888","7.03%"
"Karina Delfino Mussa","17388","42.33%"
"Pablo Salvador Reyes Flores","2777","6.76%"
"Sergio Montrone Troncoso","2729","6.64%"
"Veronica Montecinos Ortiz","5987","14.57%"
"San Miguel","45299",""
"Cristian Arevalo Ruz","1720","3.80%"
"Danilo Salvador Panes Alvarez","4445","9.81%"
"David Eduardo Navarro Carachi","6039","13.33%"
"Erika Paulina Martinez Osorio","11578","25.56%"
"Francisco Javier Herrera Riquelme","1067","2.36%"
"Leonel Ruben Jaramillo Coumerme","1377","3.04%"
"Luis Sanhueza Bravo","9133","20.16%"
"Matias Freire Vallejos","9940","21.94%"
"Santiago","117158",""
"Alfredo Morgado Travezan","13811","11.79%"
"Boris Eduardo Araos Cancino","1352","1.15%"
"Felipe Alessandri Vergara","41328","35.28%"
"Fernando Neira Pezoa","10717","9.15%"
"Helmut Dietrich Eberhard Kramer Angel","4699","4.01%"
"Iraci Luiza Hassler Jacob","45251","38.62%"
"Vitacura","55532",""
"Camila Merino Catalan","31565","56.84%"
"Cristian Araya Lerdo De Tejada","17434","31.39%"
"Darko Alexandar Peric Von Bergen","6533","11.76%"
"(en blanco)","",""
"(en blanco)","",""
"Total general","758295",""
