Comuna;18-19;20-29;30-39;40-49;50-59;60-69;70-79;80+;AÑO
Maipú;1629;9088;7559;8741;13022;9264;4428;1123;2016
Las Condes;1510;7209;6748;7808;9184;8159;6050;2894;2016
Puente Alto;1333;6942;6356;8668;12132;8530;4057;1103;2016
La Florida;984;5740;6352;7626;9891;10425;5745;1513;2016
Ñuñoa;723;3830;5682;5756;7216;6684;4519;2160;2016
Santiago;536;3661;6114;5805;6732;5954;4003;1710;2016
Providencia;569;3329;5987;5624;6026;5906;4276;2518;2016
San Bernardo;785;3729;3977;5484;6735;5283;2683;761;2016
Peñalolen;832;3705;3374;5825;5977;4612;2800;670;2016
Recoleta;452;2500;2912;3912;4848;4383;2748;930;2016
Pudahuel;526;2878;2652;3878;5361;3821;2050;538;2016
Vitacura;672;2775;2900;3730;3527;3407;2763;1114;2016
Quilicura;592;3107;3335;4785;4996;2995;1235;265;2016
Cerro Navia;384;2394;2481;3944;4447;3660;2383;655;2016
La Reina;531;2709;2322;3178;3690;3252;2018;812;2016
Estacion Central;278;1936;2072;3052;4360;3558;2578;965;2016
El Bosque;279;1915;2047;3237;4129;3479;2213;571;2016
Renca;337;2287;2542;3206;3827;3377;1785;447;2016
Conchalí;310;1848;1976;2982;4063;3050;2199;784;2016
Macul;387;2127;2206;2955;3635;3083;2230;727;2016
Lo Barnechea;1030;3941;2331;2868;3296;1948;861;284;2016
Melipilla;371;1888;2198;3138;3697;2943;1543;418;2016
La Pintana;338;1972;2057;3171;3748;3169;1648;330;2016
Pedro Aguirre Cerda;248;1717;1851;2447;4147;3204;1667;909;2016
Buin;401;2391;2374;3104;3344;2249;1145;348;2016
San Miguel;321;1868;2130;2418;3129;2728;1707;728;2016
Peñaflor;392;2160;1961;2923;3280;2301;1274;369;2016
Huechuraba;406;2025;1969;3451;2643;2030;1437;375;2016
Quinta Normal;267;1504;1600;2241;2984;2626;1616;582;2016
Colina;442;1784;1767;3218;3082;1928;922;244;2016
San Ramón;217;1349;1486;2540;2836;2475;1858;503;2016
Independencia;245;1368;1641;2169;2573;2440;1563;708;2016
Lo Prado;213;1116;1225;2446;2620;2462;1883;505;2016
Lo Espejo;185;1429;1407;2115;3278;2279;1285;534;2016
La Granja;217;1383;1404;1873;3218;2684;1246;461;2016
Cerrillos;262;1427;1564;2229;2618;2154;1540;560;2016
La Cisterna;257;1308;1451;1831;2432;2451;1621;587;2016
Talagante;281;1577;1586;2323;2784;1847;1020;311;2016
San Joaquín;172;1054;1099;1790;2498;2255;1555;565;2016
Paine;231;1328;1463;2140;2473;1681;821;248;2016
Lampa;237;1490;1667;2218;2159;1306;572;156;2016
Padre Hurtado;211;1055;1163;1735;1907;1444;728;219;2016
El Monte;141;882;995;1407;1469;996;547;196;2016
Curacaví;153;827;939;1208;1492;1029;558;181;2016
Calera de Tango;173;961;830;1136;1242;714;346;121;2016
Isla de Maipo;69;250;787;1156;1282;830;436;147;2016
Pirque;105;666;557;860;1025;637;343;109;2016
San José de Maipo;55;387;520;660;753;610;331;119;2016
Titil;87;518;505;625;727;492;260;87;2016
Maria Pinto;56;403;455;621;680;444;239;83;2016
San Pedro;48;336;384;459;443;355;201;73;2016
Alhue;48;267;291;317;330;210;110;52;2016
Maipú;3626;22589;20445;16965;19678;14417;5821;1124;2021
