"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","Etiquetas de columna","","","","","","","","","","",""
"","Suma de 18-19","","","Suma de 20-29","","","Suma de 30-39","","","Total Suma de 18-19","Total Suma de 20-29","Total Suma de 30-39"
"Etiquetas de fila","2016","2021","(en blanco)","2016","2021","(en blanco)","2016","2021","(en blanco)","","",""
"Alhue","48","75","","267","308","","291","384","","123","575","675"
"Buin","401","974","","2391","3649","","2374","4149","","1375","6040","6523"
"Calera de Tango","173","334","","961","1206","","830","1135","","507","2167","1965"
"Cerrillos","262","785","","1427","2654","","1564","2576","","1047","4081","4140"
"Cerro Navia","384","1123","","2394","4408","","2481","4069","","1507","6802","6550"
"Colina","442","1740","","1784","4206","","1767","4347","","2182","5990","6114"
"Conchalí","310","1238","","1848","4392","","1976","4436","","1548","6240","6412"
"Curacaví","153","351","","827","1314","","939","1328","","504","2141","2267"
"El Bosque","279","1390","","1915","5075","","2047","5262","","1669","6990","7309"
"El Monte","141","365","","882","1303","","995","1509","","506","2185","2504"
"Estación Central","278","1040","","1936","4111","","2072","4199","","1318","6047","6271"
"Huechuraba","406","1443","","2025","3743","","1969","3467","","1849","5768","5436"
"Independencia","245","716","","1268","2658","","1641","2867","","961","3926","4508"
"Isla de Maipo","69","408","","250","1381","","787","1412","","477","1631","2199"
"La Cisterna","257","908","","1308","3136","","1451","3505","","1165","4444","4956"
"La Florida","984","4164","","5740","14415","","6352","15385","","5148","20155","21737"
"La Granja","217","1051","","1383","4114","","1404","4200","","1268","5497","5604"
"La Pintana","338","1468","","1972","5659","","2057","5395","","1806","7631","7452"
"La Reina","531","1461","","2709","4484","","2322","4416","","1992","7193","6738"
"Lampa","237","972","","1490","2854","","1667","3543","","1209","4344","5210"
"Las Condes","1510","3961","","7209","14055","","6748","15043","","5471","21264","21791"
"Lo Barnechea","1030","2381","","3941","6516","","2331","4462","","3411","10457","6793"
"Lo Espejo","185","911","","1429","3574","","1407","3640","","1096","5003","5047"
"Lo Prado","213","896","","1116","3257","","1225","3084","","1109","4373","4309"
"Macul","387","1201","","2127","4253","","2206","4916","","1588","6380","7122"
"Maipu","1629","6611","","9088","22589","","7559","20445","","8240","31677","28004"
"Maria Pinto","56","148","","403","525","","455","580","","204","928","1035"
"Melipilla","371","1029","","1888","3434","","2198","3321","","1400","5322","5519"
"Ñuñoa","723","2245","","3830","8721","","5682","13156","","2968","12551","18838"
"Padre Hurtado","211","729","","1055","2355","","1163","2619","","940","3410","3782"
"Paine","231","626","","1328","2247","","1463","2302","","857","3575","3765"
"Pedro Aguirre Cerda","248","1010","","1717","3600","","1851","3635","","1258","5317","5486"
"Peñaflor","392","1194","","2160","3747","","1961","3683","","1586","5907","5644"
"Peñalolén","832","3092","","3705","9882","","2374","8394","","3924","13587","10768"
"Pirque","105","361","","666","1195","","557","1229","","466","1861","1786"
"Providencia","569","1278","","3329","5756","","5987","10287","","1847","9085","16274"
"Pudahuel","526","2353","","2878","8260","","2652","7493","","2879","11138","10145"
"Puente Alto","1333","6489","","6942","21439","","6356","18814","","7822","28381","25170"
"Quilicura","592","2815","","3107","8077","","3335","6503","","3407","11184","9838"
