18-19;;;;;
Etiquetas de fila;2016;2021;Total general;AUMENTO;PORCENTAJE
Isla de Maipo;69;222;291;153;321,7391304
Lo Espejo;185;525;710;340;283,7837838
El Bosque;279;789;1068;510;282,7956989
La Granja;217;600;817;383;276,4976959
San Joaquín;172;465;637;293;270,3488372
Puente Alto;1333;3574;4907;2241;268,1170293
Quilicura;592;1516;2108;924;256,0810811
La Pintana;338;829;1167;491;245,2662722
Pudahuel;526;1290;1816;764;245,2471483
Renca;337;821;1158;484;243,620178
San Ramón;217;519;736;302;239,1705069
San José de Maipo;55;130;185;75;236,3636364
Lampa;237;555;792;318;234,1772152
Conchalí;310;704;1014;394;227,0967742
La Florida;984;2226;3210;1242;226,2195122
Maipú;1629;3626;5255;1997;222,5905463
Lo Prado;213;470;683;257;220,657277
Pedro Aguirre Cerda;248;533;781;285;214,9193548
Colina;442;921;1363;479;208,3710407
Estacion Central;278;577;855;299;207,5539568
Quinta Normal;267;551;818;284;206,3670412
Pirque;105;216;321;111;205,7142857
San Bernardo;785;1582;2367;797;201,5286624
La Cisterna;257;506;763;249;196,8871595
Huechuraba;406;797;1203;391;196,3054187
Peñalolen;832;1631;2463;799;196,0336538
Padre Hurtado;211;405;616;194;191,943128
Santiago;536;960;1496;424;179,1044776
San Miguel;321;564;885;243;175,7009346
Cerrillos;262;446;708;184;170,2290076
Peñaflor;392;639;1031;247;163,0102041
Macul;387;629;1016;242;162,5322997
Ñuñoa;723;1175;1898;452;162,5172891
Cerro Navia;384;623;1007;239;162,2395833
Recoleta;452;724;1176;272;160,1769912
Talagante;281;444;725;163;158,0071174
Independencia;245;386;631;141;157,5510204
San Pedro;48;74;122;26;154,1666667
Melipilla;371;551;922;180;148,5175202
El Monte;141;209;350;68;148,2269504
Maria Pinto;56;82;138;26;146,4285714
Paine;231;334;565;103;144,5887446
La Reina;531;762;1293;231;143,5028249
Las Condes;1510;2018;3528;508;133,6423841
Buin;401;533;934;132;132,9177057
Curacaví;153;202;355;49;132,0261438
Titil;87;113;200;26;129,8850575
Calera de Tango;173;205;378;32;118,4971098
Lo Barnechea;1030;1220;2250;190;118,4466019
Vitacura;672;773;1445;101;115,0297619
Providencia;569;623;1192;54;109,4903339
Alhue;48;38;86;-10;79,16666667
;;;62435;;
;;;;;
20-29;;;;;
Etiquetas de fila;2016;2021;Total general;AUMENTO;PORCENTAJE
Isla de Maipo;250;1381;1631;1131;552,4
Puente Alto;6942;21439;28381;14497;308,8303083
La Granja;1383;4114;5497;2731;297,4692697
San Joaquín;1054;3079;4133;2025;292,1252372
Lo Prado;1116;3257;4373;2141;291,8458781
Pudahuel;2878;8260;11138;5382;287,0048645
La Pintana;1972;5659;7631;3687;286,9675456
Peñalolen;3705;9882;13587;6177;266,7206478
El Bosque;1915;5075;6990;3160;265,0130548
Quilicura;3107;8077;11184;4970;259,9613775
Quinta Normal;1504;3909;5413;2405;259,9069149
San Bernardo;3729;9445;13174;5716;253,285063
La Florida;5740;14415;20155;8675;251,1324042
Lo Espejo;1429;3574;5003;2145;250,1049685
Maipú;9088;22589;31677;13501;248,5585387
Santiago;3661;9081;12742;5420;248,0469817
La Cisterna;1308;3136;4444;1828;239,7553517
Conchalí;1848;4392;6240;2544;237,6623377
Colina;1784;4206;5990;2422;235,7623318
San Ramón;1349;3158;4507;1809;234,0993328
Ñuñoa;3830;8721;12551;4891;227,7023499
Padre Hurtado;1055;2355;3410;1300;223,2227488
San Miguel;1868;4123;5991;2255;220,7173448
Estacion Central;1936;4111;6047;2175;212,3450413
Pedro Aguirre Cerda;1717;3600;5317;1883;209,6680256
Renca;2287;4728;7015;2441;206,7337123
Recoleta;2500;5107;7607;2607;204,28
Macul;2127;4253;6380;2126;199,9529854
Las Condes;7209;14055;21264;6846;194,9646275
Independencia;1368;2658;4026;1290;194,2982456
Lampa;1490;2854;4344;1364;191,5436242
Cerrillos;1427;2654;4081;1227;185,984583
San José de Maipo;387;719;1106;332;185,7881137
Huechuraba;2025;3743;5768;1718;184,8395062
Cerro Navia;2394;4408;6802;2014;184,1269841
Talagante;1577;2896;4473;1319;183,6398224
Melipilla;1888;3434;5322;1546;181,8855932
Pirque;666;1195;1861;529;179,4294294
Peñaflor;2160;3747;5907;1587;173,4722222
Providencia;3329;5756;9085;2427;172,9047762
Paine;1328;2247;3575;919;169,2018072
La Reina;2709;4484;7193;1775;165,522333
Lo Barnechea;3941;6516;10457;2575;165,3387465
Vitacura;2775;4578;7353;1803;164,972973
Curacaví;827;1314;2141;487;158,8875453
Buin;2391;3649;6040;1258;152,6139691
El Monte;882;1303;2185;421;147,7324263
Titil;518;696;1214;178;134,3629344
Maria Pinto;403;525;928;122;130,2729529
Calera de Tango;961;1206;2167;245;125,4942768
Alhue;267;308;575;41;115,3558052
San Pedro;336;320;656;-16;95,23809524
;;;376731;;
30-39;;;;;
Etiquetas de fila;2016;2021;Total general;AUMENTO;PORCENTAJE
La Granja;1404;4200;5604;2796;299,1452991
Puente Alto;6356;18814;25170;12458;296,003776
San Joaquín;1099;3199;4298;2100;291,0828025
Pudahuel;2652;7493;10145;4841;282,5414781
Maipú;7559;20445;28004;12886;270,4722847
La Pintana;2057;5395;7452;3338;262,275158
San Miguel;2130;5541;7671;3411;260,1408451
Lo Espejo;1407;3640;5047;2233;258,7064677
El Bosque;2047;5262;7309;3215;257,0591109
Lo Prado;1225;3084;4309;1859;251,755102
Peñalolen;3374;8394;11768;5020;248,7848251
Colina;1767;4347;6114;2580;246,0101868
Santiago;6114;14868;20982;8754;243,1795878
Quinta Normal;1600;3876;5476;2276;242,25
La Florida;6352;15385;21737;9033;242,2071788
La Cisterna;1451;3505;4956;2054;241,5575465
Ñuñoa;5682;13156;18838;7474;231,5381908
Padre Hurtado;1163;2619;3782;1456;225,1934652
Conchalí;1976;4436;6412;2460;224,4939271
San Bernardo;3977;8876;12853;4899;223,183304
Las Condes;6748;15043;21791;8295;222,9253112
Macul;2206;4916;7122;2710;222,8467815
Pirque;557;1229;1786;672;220,6463196
Lampa;1667;3543;5210;1876;212,5374925
San Ramón;1486;3137;4623;1651;211,1036339
Estacion Central;2072;4199;6271;2127;202,6544402
Pedro Aguirre Cerda;1851;3635;5486;1784;196,380335
Quilicura;3335;6503;9838;3168;194,9925037
Lo Barnechea;2331;4462;6793;2131;191,4199914
La Reina;2322;4416;6738;2094;190,1808786
Renca;2542;4813;7355;2271;189,3391031
Peñaflor;1961;3683;5644;1722;187,8123406
Recoleta;2912;5344;8256;2432;183,5164835
Isla de Maipo;787;1412;2199;625;179,4155019
Talagante;1586;2809;4395;1223;177,112232
Huechuraba;1969;3467;5436;1498;176,079228
Buin;2374;4149;6523;1775;174,7683235
Independencia;1641;2867;4508;1226;174,7105424
Providencia;5987;10287;16274;4300;171,8222816
Vitacura;2900;4880;7780;1980;168,2758621
Cerrillos;1564;2576;4140;1012;164,7058824
Cerro Navia;2481;4069;6550;1588;164,006449
Paine;1463;2302;3765;839;157,3479152
San José de Maipo;520;792;1312;272;152,3076923
El Monte;995;1509;2504;514;151,6582915
Melipilla;2198;3321;5519;1123;151,0919017
Titil;505;725;1230;220;143,5643564
Curacaví;939;1328;2267;389;141,4270501
Calera de Tango;830;1135;1965;305;136,746988
Alhue;291;384;675;93;131,9587629
Maria Pinto;455;580;1035;125;127,4725275
San Pedro;384;416;800;32;108,3333333
